SITEID,Lat,Lon
'010030010',30.49748,-87.88026
'010270001',33.28493,-85.80361
'010331002',34.76262,-87.6381
'010491003',34.28857,-85.96986
'010550010',33.99149,-85.99265
'010690003',31.22478,-85.39079
'010730023',33.55306,-86.815
'010731005',33.33111,-87.00361
'010731010',33.54528,-86.54917
'010732003',33.49972,-86.92417
'010732059',33.52143,-86.84411
'010890014',34.68776,-86.58636
'010970003',30.77018,-88.08776
'011011002',32.41281,-86.26339
'011030011',34.53072,-86.96754
'011130001',32.47214,-85.00503
'011210002',33.27947,-86.34944
'011250004',33.18993,-87.48419
'020200018',61.20586,-149.8246
'020201004',61.3267,-149.56971
'020900010',64.84067,-147.72246
'020900034',64.84569,-147.72741
'020900035',64.76297,-147.3103
'021100004',58.3885,-134.56724
'021700008',61.53416,-149.03166
'021700012',61.5989,-149.10622
'040031005',31.3492,-109.53968
'040128000',34.2439,-113.5586
'040130019',33.48385,-112.14257
'040131003',33.41045,-111.86507
'040131004',33.56033,-112.06626
'040132001',33.57454,-112.19196
'040134003',33.40316,-112.07533
'040134005',33.4124,-111.93473
'040134019',33.39625,-111.96797
'040134020',33.46155,-112.12816
'040137020',33.48824,-111.85565
'040139812',33.4265,-112.11814
'040139997',33.50383,-112.09577
'040190011',32.32266,-111.03839
'040191028',32.29515,-110.9823
'040210001',32.87758,-111.75222
'040213002',33.42119,-111.50322
'040213015',32.88476,-112.03705
'040230004',31.3372,-110.93672
'040278011',32.69028,-114.61444
'050010011',34.51852,-91.55896
'050030005',33.13686,-91.95038
'050350005',35.19729,-90.19314
'050510003',34.46944,-93.00018
'050670001',35.63729,-91.18891
'051130002',34.5837,-94.22623
'051190007',34.75619,-92.2813
'051191008',34.68134,-92.3287
'051390006',33.22027,-92.66962
'051430005',36.1797,-94.11683
'060010007',37.68753,-121.78422
'060010009',37.74307,-122.16993
'060010011',37.81478,-122.28235
'060010012',37.79362,-122.26338
'060010013',37.86477,-122.30274
'060070008',39.76154,-121.84162
'060090001',38.20185,-120.68157
'060110007',39.02122,-122.2818
'060111002',39.20293,-122.01773
'060130002',37.93601,-122.02615
'060131004',37.9604,-122.35681
'060190011',36.78532,-119.77417
'060190500',36.98512,-119.65834
'060192009',36.63423,-120.38233
'060195001',36.81911,-119.71736
'060195025',36.72639,-119.733
'060231004',40.77694,-124.1775
'060231005',40.71528,-124.20139
'060250005',32.67619,-115.48414
'060250007',32.97833,-115.53917
'060251003',32.79222,-115.56306
'060270002',37.36068,-118.33078
'060271003',36.48782,-117.87104
'060290010',35.38557,-119.01501
'060290011',35.05055,-118.14729
'060290014',35.35609,-119.04121
'060290015',35.62109,-117.67296
'060290016',35.32293,-118.99917
'060310004',36.10218,-119.56695
'060311004',36.3144,-119.64457
'060333001',39.0327,-122.92229
'060370002',34.1365,-117.92391
'060371103',34.06659,-118.22688
'060371201',34.19925,-118.53276
'060371302',33.90139,-118.205
'060371602',34.01194,-118.06995
'060372005',34.1326,-118.1272
'060374002',33.82376,-118.18921
'060374004',33.79236,-118.17533
