Variable,Train1_R2,Train1_num_missing,Train2_R2,Train2_num_missing,Val_R2,Val_num_missing,Test_R2,Test_num_missing
year,0.9997354473246859,0.0,0.9983653780233048,0.0,0.9983999587555813,0.0,0.9985784592337276,0.0
month,0.9999165193812094,0.0,0.9998179884446929,0.0,0.9998256454145498,0.0,0.9998230197095844,0.0
cumulative_month,0.9997488226555132,0.0,0.9988747185187422,0.0,0.9988879738732352,0.0,0.9990556745916402,0.0
sin_time,0.9999533991804859,0.0,0.9998681692591583,0.0,0.9998666755755278,0.0,0.9998730278750384,0.0
cos_time,0.9999771228578151,0.0,0.9999291825761926,0.0,0.9999291210724025,0.0,0.9999305222934955,0.0
GFEDFireCarbon,0.9520699143951363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USElevation_mea100,0.99987468768764,0.0,0.7164007867703448,0.0,0.7167866287944074,12420.0,0.667583298714593,0.0
USElevation_std100,0.9998212931744962,0.0,0.21304627038146617,0.0,0.21917315363214773,0.0,0.2695817440492684,0.0
USElevation_std10000,0.9994112707125062,0.0,0.4941927811179776,0.0,0.5646613494290589,0.0,0.544693841320398,0.0
NLCD_Barren100,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NLCD_Developed100,0.9999899697668752,0.0,0.9530817368037183,0.0,0.9485999427480767,0.0,0.958236928278219,0.0
NLCD_Herbaceous100,0.9998496071829405,0.0,0.1133121840887652,0.0,0.0,0.0,0.20511817215071193,0.0
NLCD_Planted100,0.9998883176087651,0.0,0.33047185538553026,0.0,0.4547820578523085,0.0,0.4918634721591605,0.0
NLCD_Planted10000,0.9983676452582205,0.0,0.45463464000796716,0.0,0.5695565870624963,0.0,0.49499924065418854,0.0
NLCD_Shrubland100,0.9995229194481531,0.0,0.30710748797083753,0.0,0.30328686424180695,0.0,0.44673119759735536,0.0
NLCD_Shrubland10000,0.9999987943446134,0.0,0.5746617214528841,0.0,0.5902530289520568,0.0,0.5740394305192702,0.0
NLCD_Wetlands100,1.0,0.0,0.0,0.0,0.0,0.0,0.0922288256693431,0.0
NLCD_Impervious100,0.9999903196641621,0.0,0.9406726782970168,0.0,0.940869316561163,0.0,0.935064690298437,0.0
RoadDensity_primaryroads10000,0.9999101988209613,0.0,0.679737407152478,0.0,0.7315023845042888,0.0,0.7131748114895717,0.0
RoadDensity_prisecroads10000,0.9983554391375027,0.0,0.772037712784193,8402.0,0.7917621650232769,0.0,0.7571057551085768,12420.0
RoadDensity_roads1000,0.998612475569205,0.0,0.5448576515857484,6210.0,0.5298192588203561,0.0,0.5750423063940675,0.0
MAIACUS_Optical_Depth_047_Aqua_Nearest4,0.9574167723895786,1607214.0,0.7698776668390598,5439047.0,0.771194628894309,1526726.0,0.7600202034472805,1501379.0
MAIACUS_Optical_Depth_047_Terra_Nearest4,0.9676260233003001,1476338.0,0.8495025889239947,5011240.0,0.8478375213907794,1412764.0,0.8406540629068611,1385735.0
REANALYSIS_windspeed_10m_DailyMax,0.8654233432988672,0.0,0.6529172903495348,0.0,0.6518819762248484,0.0,0.6506077601853361,0.0
REANALYSIS_evap_DailyMean,0.9243914419166828,0.0,0.8030339526701854,0.0,0.8150074985972314,0.0,0.8190000724463921,0.0
REANALYSIS_hpbl_DailyMean,0.967996564414686,0.0,0.8687231403613386,0.0,0.8632077407861766,0.0,0.8702914163181498,0.0
REANALYSIS_shum_2m_DailyMean,0.961547928418222,0.0,0.9359118725379605,0.0,0.9358325446135233,0.0,0.9307657515710587,0.0
REANALYSIS_windspeed_10m_DailyMean,0.8602811351335091,0.0,0.6505955160360688,0.0,0.6511839281578482,0.0,0.6564971985050854,0.0
REANALYSIS_weasd_DailyMean,0.7970251034379328,0.0,0.4643013156935525,0.0,0.45225803205384385,0.0,0.37432770317401,0.0
REANALYSIS_hpbl_DailyMin,0.9444087055437065,0.0,0.80984161909713,0.0,0.8018286147723279,0.0,0.8113538051186331,0.0
REANALYSIS_hpbl_1Day,0.9203923758629836,0.0,0.7103351333275006,0.0,0.693821375026949,0.0,0.7146621114858878,0.0
MOD04L2_550,0.2543302440472388,1141912.0,0.19707718068084212,3787080.0,0.19005086091885248,1066664.0,0.20558394402226587,1042232.0
MOD11A1_LST_Night_1km_Nearest4,0.9814660901376067,1084072.0,0.9384884612939383,3614472.0,0.9359935393793875,1022976.0,0.9410057390838443,999971.0
MOD11A1_Clear_day_cov_Nearest4,0.585225574700525,1085520.0,0.127374921327434,3625858.0,0.12338808880992191,1028119.0,0.13173693410386922,1002210.0
Nearby_Peak2_PM25,0.8410484816319275,5695.0,0.7080380828995483,19054.0,0.7047731912833546,5304.0,0.7100073453313221,5304.0
Nearby_Peak2_Ozone,0.8579303280412957,335.0,0.7518928901967287,1120.0,0.7567443672139664,312.0,0.764378120233666,312.0
Nearby_Peak2Lag1_PM25,0.8823420248273006,5360.0,0.681324402784785,17934.0,0.682674313529361,4992.0,0.6852180432202633,4992.0
Nearby_Peak2Lag1_Ozone,0.9212745499335494,0.0,0.7737123483662611,0.0,0.7783739760964978,0.0,0.7877158652473248,0.0
Nearby_Peak2Lag3_PM25,0.8662327775497731,4690.0,0.5832356110758273,15694.0,0.5881653981677097,4368.0,0.5874047101706248,4368.0
Nearby_Peak2_MeanTemperature,0.981559318521246,122610.0,0.9508810469697511,409920.0,0.9527495325753375,114192.0,0.9519089718666275,114192.0
Nearby_Peak2Lag3_MeanTemperature,0.9603273826578419,122610.0,0.9094635798114571,409920.0,0.9101696443475662,114192.0,0.9108467904266673,114192.0
OMNO2d_ColumnAmountNO2StratoCloudScreened_Mean,0.9896051613767515,1267381.0,0.9597698512235658,4241228.0,0.9609669245221754,1186737.0,0.9602783981716886,1176538.0
Lat,0.9982373916701676,0.0,0.7980670204677152,0.0,0.7872932632306922,0.0,0.7515021530286817,0.0
Lon,0.999800126454446,0.0,0.9138311008201314,0.0,0.9081949433330112,0.0,0.9103061533098039,0.0
Population,1.0,18630.0,0.6052773465624133,93150.0,0.6302614398595201,18630.0,0.6305406845781363,31050.0
Land_Sq_Mi,1.0,18630.0,0.40534138816661947,93150.0,0.48667140162236255,18630.0,0.4010739312602435,31050.0
Population_Density,1.0,18630.0,0.6392874288958033,93150.0,0.5415237507396431,18630.0,0.7142239682597771,31050.0
Median_household_income,1.0,43470.0,0.7166372056772079,173880.0,0.859998497681255,37260.0,0.7506987255371926,55890.0
Bachelors_Degree_p,1.0,18630.0,0.4062355358185715,93150.0,0.6029581690625254,18630.0,0.45616649205498994,31050.0
Family_Poverty_p,0.999999999906886,18630.0,0.7405375526605837,93150.0,0.6979389639587287,18630.0,0.6690728005841222,31050.0
Unemployment_Rate,0.9999999992519479,18630.0,0.5111310491206851,93150.0,0.45934911892692387,18630.0,0.5126129753401456,31050.0
White_p,1.0,18630.0,0.7348885972832793,130410.0,0.7251232034947781,18630.0,0.6743625684564754,31050.0
Black_p,0.999999999392895,18630.0,0.7363340324797438,130410.0,0.7209003271955952,18630.0,0.6900077168403197,31050.0
Income_100to150k_p,0.9999999945971341,18630.0,0.2466893172425475,130410.0,0.7056971842341822,18630.0,0.7004500750186371,31050.0
Income_150to200k_p,0.9999998271601159,18630.0,0.7204319349646348,130410.0,0.673850795280751,18630.0,0.507555238031989,31050.0
Age_50to59_p,0.9999999992768659,18630.0,0.0,130410.0,0.0656301768189742,18630.0,0.0,31050.0
Age_60to69_p,0.9999999975822065,18630.0,0.26435937513307384,130410.0,0.29993200995500024,18630.0,0.2796968134179525,31050.0
Nearest_Sensor_Dist,0.99977614185769,0.0,0.6238798699659602,0.0,0.6082381912676333,0.0,0.6267976254515838,0.0
Nearest_3Sensor_Dist,0.9997724206795925,0.0,0.6899266729634588,0.0,0.7345027109573657,0.0,0.6151156519425431,0.0
Lat_Lon_int,0.999975299905284,0.0,0.9525984639064026,0.0,0.9414805570138133,0.0,0.9451198463730767,0.0
Nearby_Peak2_PM25_Lead1,0.8316910840319183,5695.0,0.6016897100283483,19054.0,0.5977039898296792,5304.0,0.6057632780089868,5304.0
Nearby_PM25_Site_Mean,0.9998519752626508,0.0,0.8099206216964346,0.0,0.8269957415827156,0.0,0.7600175497824095,0.0
Weighted_Mean_R2,0.8216875264822642,132201.0,0.6652181677520427,453894.72580645164,0.6686456306115742,125256.29032258065,0.6660958055275485,125768.37096774194
