Variable,Train_R2,Train_num_missing,Val_R2,Val_num_missing,Test_R2,Test_num_missing
year,0.9999986952773068,0.0,0.9999987298554112,0.0,0.9999984732740886,0.0
month,0.8631672400952045,0.0,0.8636621755274014,0.0,0.8626434059584522,0.0
cumulative_month,0.9999987121940872,0.0,0.9999987485254173,0.0,0.999998487189165,0.0
sin_time,0.7470790653880655,0.0,0.7618697392413725,0.0,0.7282277242256349,0.0
cos_time,0.9209783409891703,0.0,0.9223897442821487,0.0,0.9220673110672635,0.0
GFEDFireCarbon,0.0002129766656427945,0.0,0.022579463072822215,0.0,0.0,0.0
USElevation_mea100,0.5567544974911269,0.0,0.5365445376024369,0.0,0.5755894608764447,6210.0
USElevation_std100,0.0,0.0,0.0,0.0,0.0,0.0
USElevation_std10000,0.0,0.0,0.6564528574900448,0.0,0.0,0.0
NLCD_Barren100,0.0,0.0,1.0,0.0,1.0,0.0
NLCD_Developed100,0.9486840694193462,0.0,0.9138744401162512,0.0,0.92135224132215,0.0
NLCD_Herbaceous100,0.0,0.0,0.0,0.0,0.0,0.0
NLCD_Planted100,0.0,0.0,0.0,0.0,0.0,0.0
NLCD_Planted10000,0.26900848824324863,0.0,0.6016975347864277,0.0,0.0,0.0
NLCD_Shrubland100,0.0,0.0,1.0,0.0,0.0,0.0
NLCD_Shrubland10000,0.42671113318093257,0.0,0.6700730092236744,0.0,0.5583615104835835,0.0
NLCD_Wetlands100,0.0,0.0,0.0,0.0,0.0,0.0
NLCD_Impervious100,0.9465286952114694,0.0,0.9192098233489432,0.0,0.9011250334326852,0.0
RoadDensity_primaryroads10000,0.4985108029823313,0.0,0.5101352817764275,0.0,0.0,0.0
RoadDensity_prisecroads10000,0.6323719948369535,0.0,0.6871376011110949,0.0,0.0,0.0
RoadDensity_roads1000,0.4266566086985245,0.0,0.34328890518007904,0.0,0.0,0.0
MAIACUS_Optical_Depth_047_Aqua_Nearest4,0.6871982085118038,898877.0,0.7095095233620793,193835.0,0.7082002370686853,187657.0
MAIACUS_Optical_Depth_047_Terra_Nearest4,0.8290631629533838,806166.0,0.838158340985772,173778.0,0.8276535821033583,168399.0
REANALYSIS_windspeed_10m_DailyMax,0.4330643507109416,0.0,0.4207571427811607,0.0,0.2470407938729442,0.0
REANALYSIS_evap_DailyMean,0.6244447571261527,0.0,0.6383719372074413,0.0,0.5012741720248878,0.0
REANALYSIS_hpbl_DailyMean,0.8283439672326145,0.0,0.8039635881013357,0.0,0.8179537508436414,0.0
REANALYSIS_shum_2m_DailyMean,0.8566208296242742,0.0,0.8909112643392423,0.0,0.8096916554548785,0.0
REANALYSIS_windspeed_10m_DailyMean,0.4695835004141513,0.0,0.4444717903493848,0.0,0.4709344577896366,0.0
REANALYSIS_weasd_DailyMean,0.19581091328599498,0.0,0.2057112438436477,0.0,0.11467713402780311,0.0
REANALYSIS_hpbl_DailyMin,0.6770868397203467,0.0,0.6641299941889958,0.0,0.5927667287639761,0.0
REANALYSIS_hpbl_1Day,0.6597912533693078,0.0,0.6048726473256378,0.0,0.6291171220102387,0.0
MOD04L2_550,0.8717467711410924,581646.0,0.8846420652121226,131656.0,0.8440966663382812,115409.0
MOD11A1_LST_Night_1km_Nearest4,0.9256216166406472,597957.0,0.9396070371060506,128164.0,0.9063301935863433,123575.0
MOD11A1_Clear_day_cov_Nearest4,0.1478817862924502,583070.0,0.16003276575967484,126608.0,0.0925161069658681,120349.0
Nearby_Peak2_PM25,0.6910437287370852,3587.0,0.6989702009221166,765.0,0.6505537226532989,762.0
Nearby_Peak2_Ozone,0.7231545984274965,211.0,0.7229865240737785,45.0,0.7269357213850096,44.0
Nearby_Peak2Lag1_PM25,0.5878726090442891,3376.0,0.5966852618597752,720.0,0.5368206311493753,718.0
Nearby_Peak2Lag1_Ozone,0.7185109644203997,0.0,0.7198728904877876,0.0,0.7103850176680562,0.0
Nearby_Peak2Lag3_PM25,0.37870479454971606,2954.0,0.3959683213239946,630.0,0.35233207737701,630.0
Nearby_Peak2_MeanTemperature,0.9157960221835211,77226.0,0.9268708334787459,16470.0,0.911698616127593,16104.0
Nearby_Peak2Lag3_MeanTemperature,0.8347160187384006,77226.0,0.8346582867018341,16470.0,0.8402964932519895,16104.0
OMNO2d_ColumnAmountNO2StratoCloudScreened_Mean,0.8858280046022787,732940.0,0.8886334105091991,156826.0,0.8816535818226919,154698.0
Lat,0.9790027434769507,0.0,0.9804806099504011,0.0,0.9800587089076322,0.0
Lon,0.991323344763862,0.0,0.9960111887337042,0.0,0.9922566936087184,0.0
Population,0.39685779064577864,31050.0,0.0,0.0,0.0,0.0
Land_Sq_Mi,0.0,31050.0,0.0,0.0,0.06462268698040419,0.0
Population_Density,0.2174243566978752,31050.0,0.3965971538468146,0.0,0.02131473920298843,0.0
Median_household_income,0.8205446282763188,31050.0,0.850520107276701,0.0,0.7704517035158199,12420.0
Bachelors_Degree_p,0.641501765510441,31050.0,0.8317197548117452,0.0,0.0,0.0
Family_Poverty_p,0.6602721544530905,31050.0,0.6972486248223704,0.0,0.4116476022525398,0.0
Unemployment_Rate,0.4463201194966827,31050.0,0.20497273045558095,0.0,0.0,0.0
White_p,0.6973020581891286,31050.0,0.6582046576738331,0.0,0.736233306082628,0.0
Black_p,0.5284890468980421,31050.0,0.5731892789049013,0.0,0.0,0.0
Income_100to150k_p,0.8109496029800929,31050.0,0.8356530790823481,0.0,0.324047224981856,0.0
Income_150to200k_p,0.7390536465322024,31050.0,0.8729366081725044,0.0,0.32377709575986424,0.0
Age_50to59_p,0.6019392937082211,31050.0,0.5821718760850334,0.0,0.0,0.0
Age_60to69_p,0.5679579384658641,31050.0,0.7028087150830806,0.0,0.0,0.0
Nearest_Sensor_Dist,0.6468543204733181,0.0,0.4494787965545429,0.0,0.5669507530298087,0.0
Nearest_3Sensor_Dist,0.7291177503449044,0.0,0.6709374145862681,0.0,0.5821491116044843,0.0
Lat_Lon_int,0.9940540037449984,0.0,0.9959687386697628,0.0,0.9945626475865611,0.0
Nearby_Peak2_PM25_Lead1,0.5320840970797793,3587.0,0.5422474729670562,765.0,0.48514580577930344,762.0
Nearby_PM25_Site_Mean,0.35729853630939,0.0,0.3184704495083628,0.0,0.0,0.0
Weighted_Mean_R2,0.7221109708040047,76975.37096774194,0.7503382861044241,15269.870967741936,0.7274817686610664,14900.661290322581
