Variable,Train1_R2,Train1_num_missing,Train2_R2,Train2_num_missing,Test_R2,Test_num_missing
year,0.9945761783382524,0.0,0.43572779205804424,0.0,0.7142639924872551,0.0
month,0.9894530666290325,0.0,0.947937778093965,0.0,0.9391546152074205,0.0
cumulative_month,0.9946033371932446,0.0,0.6341393292487911,0.0,0.7389092508904718,0.0
sin_time,0.989746672606984,0.0,0.9041990102329142,0.0,0.9062319722776954,0.0
cos_time,0.9951704035529516,0.0,0.9580089103754702,0.0,0.9509994395605248,0.0
GFEDFireCarbon,0.9423422150066825,0.0,0.0,0.0,0.0,0.0
USElevation_mea100,1.0,0.0,0.0,0.0,0.0,0.0
USElevation_std100,1.0,0.0,0.0,0.0,0.0,0.0
USElevation_std10000,1.0,0.0,0.0,0.0,0.0,0.0
NLCD_Barren100,1.0,0.0,1.0,0.0,1.0,0.0
NLCD_Developed100,1.0,0.0,0.2906043573084368,0.0,0.0,0.0
NLCD_Herbaceous100,1.0,0.0,0.0,0.0,0.0,0.0
NLCD_Planted100,1.0,0.0,0.0,0.0,0.0,0.0
NLCD_Planted10000,0.9999676426407462,0.0,0.0,0.0,0.20856270466860616,0.0
NLCD_Shrubland100,1.0,0.0,0.0,0.0,0.0,0.0
NLCD_Shrubland10000,0.9999763138564889,0.0,0.1804797675721751,0.0,0.0,0.0
NLCD_Wetlands100,1.0,0.0,1.0,0.0,1.0,0.0
NLCD_Impervious100,1.0,0.0,0.6418140640834822,0.0,0.49087449729084576,0.0
RoadDensity_primaryroads10000,0.9999177022903971,0.0,0.12326866387495372,0.0,0.0,0.0
RoadDensity_prisecroads10000,0.9999135602973628,0.0,0.5563338929615564,0.0,0.04918073919239918,0.0
RoadDensity_roads1000,0.9999892953316037,0.0,0.0,0.0,0.20600840094165895,0.0
MAIACUS_Optical_Depth_047_Aqua_Nearest4,0.888497671054816,48732.0,0.2823805297865045,104900.0,0.3893668738177315,41228.0
MAIACUS_Optical_Depth_047_Terra_Nearest4,0.9056088279089551,43093.0,0.38843949566472635,87991.0,0.4999343418450982,36776.0
REANALYSIS_windspeed_10m_DailyMax,0.8973999241216448,0.0,0.29794227073916923,0.0,0.25713874597997544,0.0
REANALYSIS_evap_DailyMean,0.9769097079511645,0.0,0.2546182426688903,0.0,0.3447144412396711,0.0
REANALYSIS_hpbl_DailyMean,0.9528300985792513,0.0,0.586354978197047,0.0,0.49509648166596976,0.0
REANALYSIS_shum_2m_DailyMean,0.9744338370314781,0.0,0.5192005175619934,0.0,0.47258835881598427,0.0
REANALYSIS_windspeed_10m_DailyMean,0.89555118014714,0.0,0.16482439626135514,0.0,0.2291544540228867,0.0
REANALYSIS_weasd_DailyMean,0.8741318771671647,0.0,0.0,0.0,0.0,0.0
REANALYSIS_hpbl_DailyMin,0.9172921656203126,0.0,0.29632503373422137,0.0,0.10022539364374305,0.0
REANALYSIS_hpbl_1Day,0.9031922655364566,0.0,0.39771871234072353,0.0,0.3087887417061713,0.0
MOD04L2_550,0.8252678634094661,37695.0,0.029058876311503612,75724.0,0.05289977638852961,26601.0
MOD11A1_LST_Night_1km_Nearest4,0.9816370459351382,32186.0,0.8184711264487662,64721.0,0.8189857297217518,28442.0
MOD11A1_Clear_day_cov_Nearest4,0.7907586320094495,30882.0,0.0,65803.0,0.0,27404.0
Nearby_Peak2_PM25,0.9290248296643204,204.0,0.473480030983792,442.0,0.5299027587447847,170.0
Nearby_Peak2_Ozone,0.9454977048912497,12.0,0.5825245399699648,26.0,0.49975134262220267,10.0
Nearby_Peak2Lag1_PM25,0.915758602797612,192.0,0.4380376327377421,416.0,0.4541075021345927,160.0
Nearby_Peak2Lag1_Ozone,0.9397971352147982,0.0,0.5958871319653866,0.0,0.48804185009523615,0.0
Nearby_Peak2Lag3_PM25,0.8678753122795372,168.0,0.051465380985966425,364.0,0.12092420153307415,140.0
