Variable,Train_R2,Train_num_missing,Test_R2,Test_num_missing
year,0.9999999879498187,0.0,0.9999999877872064,0.0
month,0.9928861008621535,0.0,0.9928916079467495,0.0
cumulative_month,0.999999988135319,0.0,0.9999999879700973,0.0
sin_time,0.7774719979844695,0.0,0.7786099257615546,0.0
cos_time,0.9398304265347245,0.0,0.9400499778945035,0.0
GFEDFireCarbon,0.0052777622004448466,0.0,0.005915813411373483,0.0
USElevation_mea100,0.7659997596723531,12420.0,0.7778237384676551,0.0
USElevation_std100,0.329706864024356,0.0,0.24897818765605761,0.0
USElevation_std10000,0.520805439625547,0.0,0.48898569236231626,0.0
NLCD_Barren100,0.0,0.0,0.0,0.0
NLCD_Developed100,0.9634130168950905,0.0,0.9577153806297526,0.0
NLCD_Herbaceous100,0.17558095132170193,0.0,0.06941049301968849,0.0
NLCD_Planted100,0.2792114752533579,0.0,0.24504312204375334,0.0
NLCD_Planted10000,0.38069792862252194,0.0,0.29380623029820085,0.0
NLCD_Shrubland100,0.32807377089944467,0.0,0.380212373629901,0.0
NLCD_Shrubland10000,0.5414545236913695,0.0,0.5138092184269728,0.0
NLCD_Wetlands100,0.043915098168328504,0.0,0.0,0.0
NLCD_Impervious100,0.961693272822467,0.0,0.956942334004534,0.0
RoadDensity_primaryroads10000,0.6719905634412445,0.0,0.653818107375661,0.0
RoadDensity_prisecroads10000,0.7476978863713191,14612.0,0.7530828107172574,6210.0
RoadDensity_roads1000,0.5490455173530786,0.0,0.5712378671190057,6210.0
MAIACUS_Optical_Depth_047_Aqua_Nearest4,0.8190830880445681,8058872.0,0.820663348179069,2015494.0
MAIACUS_Optical_Depth_047_Terra_Nearest4,0.9081313684076278,7431037.0,0.908227917392098,1855040.0
REANALYSIS_windspeed_10m_DailyMax,0.5127486052772429,0.0,0.5207359232711632,0.0
REANALYSIS_evap_DailyMean,0.6699039861201714,0.0,0.6890121482743401,0.0
REANALYSIS_hpbl_DailyMean,0.8313759185483722,0.0,0.8359943989268962,0.0
REANALYSIS_shum_2m_DailyMean,0.8937556102370866,0.0,0.8877557332330475,0.0
REANALYSIS_windspeed_10m_DailyMean,0.4956476198427837,0.0,0.5011996856491496,0.0
REANALYSIS_weasd_DailyMean,0.372314384344973,0.0,0.4074156939868345,0.0
REANALYSIS_hpbl_DailyMin,0.6929963060534119,0.0,0.6914785841385076,0.0
REANALYSIS_hpbl_1Day,0.6054870289273994,0.0,0.6198521077893702,0.0
MOD04L2_550,0.9171017207624743,5613365.0,0.9187399755295159,1424523.0
MOD11A1_LST_Night_1km_Nearest4,0.963382481033849,5385401.0,0.9644345496550826,1336090.0
MOD11A1_Clear_day_cov_Nearest4,0.12168607333179182,5390917.0,0.12453694897040035,1350790.0
Nearby_Peak2_PM25,0.6663232692221072,28285.0,0.6622704247898809,7072.0
Nearby_Peak2_Ozone,0.7064675266931031,1663.0,0.7061392881139019,416.0
Nearby_Peak2Lag1_PM25,0.5483777127396655,26622.0,0.5447094265894155,6656.0
Nearby_Peak2Lag1_Ozone,0.7086535833946475,0.0,0.7065927293232366,0.0
Nearby_Peak2Lag3_PM25,0.34415500465212934,23296.0,0.34633337960484645,5824.0
Nearby_Peak2_MeanTemperature,0.9522963823891346,608658.0,0.9522391049965402,152256.0
Nearby_Peak2Lag3_MeanTemperature,0.8495767318334426,608658.0,0.8509408838408056,152256.0
OMNO2d_ColumnAmountNO2StratoCloudScreened_Mean,0.9228808250233848,6287570.0,0.9221692370395939,1584314.0
Lat,0.9878687383178278,0.0,0.9885938822847713,0.0
Lon,0.9929478291697059,0.0,0.9929633158697445,0.0
Population,0.31299695478865575,117990.0,0.3293332238753316,43470.0
Land_Sq_Mi,0.2822142620549851,117990.0,0.337392001976734,43470.0
Population_Density,0.2937496465620242,117990.0,0.26071471086585085,43470.0
Median_household_income,0.7763132509807549,248400.0,0.7110133568272554,62100.0
Bachelors_Degree_p,0.4638030661870223,117990.0,0.3815946760569745,43470.0
Family_Poverty_p,0.6569827827223296,117990.0,0.6235233886978966,43470.0
Unemployment_Rate,0.4883412301168245,117990.0,0.44472561823117385,43470.0
White_p,0.682468873316596,155250.0,0.7052971578575071,43470.0
Black_p,0.6184451047644841,155250.0,0.5847701192911523,43470.0
Income_100to150k_p,0.43340957765349675,155250.0,0.4864205602923649,43470.0
Income_150to200k_p,0.6081439283131366,155250.0,0.567406604359433,43470.0
Age_50to59_p,0.13728589157623594,155250.0,0.1011375870784994,43470.0
Age_60to69_p,0.18256307544368477,155250.0,0.12396764071501332,43470.0
Nearest_Sensor_Dist,0.7125248546740193,0.0,0.6294828077039133,0.0
Nearest_3Sensor_Dist,0.7629428407288503,0.0,0.7023174535589178,0.0
Lat_Lon_int,0.9955818676787326,0.0,0.9959105176695207,0.0
Nearby_Peak2_PM25_Lead1,0.49478318035835955,28285.0,0.4930485209460532,7072.0
Nearby_PM25_Site_Mean,0.5401168151816079,0.0,0.5232519772119018,0.0
Weighted_Mean_R2,0.7780922459090299,667862.9193548387,0.7739166147797035,169257.46774193548
