RF_Feature_Importance,Variable
0.003516643378222652,year
0.0021364213633689485,month
0.006079238489472075,cumulative_month
0.0018851177771693293,sin_time
0.0021022408783177827,cos_time
0.004214855237358171,GFEDFireCarbon
0.009320344766612644,USElevation_mea100
0.0023009541939774847,USElevation_std100
0.00600726456878979,USElevation_std10000
6.775238450851331e-07,NLCD_Barren100
0.003525024124996282,NLCD_Developed100
0.00011758959553024762,NLCD_Herbaceous100
0.00021587068398716265,NLCD_Planted100
0.006012674670082632,NLCD_Planted10000
0.0009341246362836561,NLCD_Shrubland100
0.006836230138586868,NLCD_Shrubland10000
3.6843267577957465e-05,NLCD_Wetlands100
0.004285722712494563,NLCD_Impervious100
0.0030322951712159706,RoadDensity_primaryroads10000
0.008892976395684631,RoadDensity_prisecroads10000
0.011305919132595627,RoadDensity_roads1000
0.031629696865813565,MAIACUS_Optical_Depth_047_Aqua_Nearest4
0.02079168821925862,MAIACUS_Optical_Depth_047_Terra_Nearest4
0.00584606386426538,REANALYSIS_windspeed_10m_DailyMax
0.005649508882517889,REANALYSIS_evap_DailyMean
0.013347785680195633,REANALYSIS_hpbl_DailyMean
0.0059873881509348486,REANALYSIS_shum_2m_DailyMean
0.005650586577415719,REANALYSIS_windspeed_10m_DailyMean
0.0021481403776146286,REANALYSIS_weasd_DailyMean
0.01446501116043109,REANALYSIS_hpbl_DailyMin
0.006059115224658278,REANALYSIS_hpbl_1Day
0.006870790135159527,MOD04L2_550
0.0065041091383445096,MOD11A1_LST_Night_1km_Nearest4
0.004614243208597715,MOD11A1_Clear_day_cov_Nearest4
0.4575047290084824,Nearby_Peak2_PM25
0.0122100539548402,Nearby_Peak2_Ozone
0.1005564665038836,Nearby_Peak2Lag1_PM25
0.00732001111195768,Nearby_Peak2Lag1_Ozone
0.01487303752624022,Nearby_Peak2Lag3_PM25
0.006458047058614793,Nearby_Peak2_MeanTemperature
0.0057343777011591756,Nearby_Peak2Lag3_MeanTemperature
0.0070076422578730126,OMNO2d_ColumnAmountNO2StratoCloudScreened_Mean
0.003879849420217618,Lat
0.006723555504115872,Lon
0.004069738107589856,Population
0.0031058348215015122,Land_Sq_Mi
0.009365517508441928,Population_Density
0.0027294330036352465,Median_household_income
0.002193975575515553,Bachelors_Degree_p
0.002625719668013164,Family_Poverty_p
0.002460929688176834,Unemployment_Rate
0.002540988956773928,White_p
0.0033112184944872856,Black_p
0.0021622623652637635,Income_100to150k_p
0.0019211702804319145,Income_150to200k_p
0.0024422785286508843,Age_50to59_p
0.0030250762011749272,Age_60to69_p
0.0033523690262784005,Nearest_Sensor_Dist
0.0036957492497951007,Nearest_3Sensor_Dist
0.005708217288724921,Lat_Lon_int
0.09522761796577639,Nearby_Peak2_PM25_Lead1
0.015470977031006935,Nearby_PM25_Site_Mean
