"Site_ID","Lat","Lon","City","State","County","Zip","Country","Population","Land_Sq_Mi","Population_Density","White","Black","Native","Asian","Islander","Other","Two","Hispanic","Age_0_to_9","Age_10_to_19","Age_20_to_29","Age_30_to_39","Age_40_to_49","Age_50_to_59","Age_60_to_69","Age_70_plus","Median_household_income","Income_less_than_25k","Income_25k_to_50k","Income_50k_to_75k","Income_75k_to_100k","Income_100k_to_150k","Income_150k_to_200k","Income_200k_or_more","No_Diploma","High_School","Some_College","Bachelors_Degree","Graduate_Degree","Households","Family_Households","Family_Poverty","Unemployment_Rate","White_p","Black_p","Native_p","Asian_p","Islander_p","Other_p","Two_p","Hispanic_p","Age_0_p","Age_10_p","Age_20_p","Age_30_p","Age_40_p","Age_50_p","Age_60_p","Age_70_p","Income_0_p","Income_25_p","Income_50_p","Income_75_p","Income_100_p","Income_150_p","Income_200_p","Family_p","Continental_ind"
1,30.49748,-87.88026,"Fairhope","AL","Baldwin County","36532","US",32285,73.738,437.8,28378,1901,43,213,0,61,399,1290,3972,4539,2472,3077,4713,4347,4569,4596,61047,1969,2710,2361,1532,1748,699,978,0.061,0.205,0.288,0.265,0.181,11997,8585,0.069,0.054,0.879,0.059,0.001,0.007,0,0.002,0.012,0.04,0.123,0.141,0.077,0.095,0.146,0.135,0.142,0.142,0.061,0.084,0.073,0.047,0.054,0.022,0.03,0.716,1
2,33.28493,-85.80361,"Ashland","AL","Clay County","36251","US",5195,144.453,36,4457,504,42,0,0,9,86,97,645,648,540,463,899,701,594,705,28618,889,642,315,154,129,12,10,0.225,0.328,0.337,0.067,0.044,2151,1477,0.226,0.1,0.858,0.097,0.008,0,0,0.002,0.017,0.019,0.124,0.125,0.104,0.089,0.173,0.135,0.114,0.136,0.171,0.124,0.061,0.03,0.025,0.002,0.002,0.687,1
3,34.76262,-87.6381,"Muscle Shoals","AL","Colbert County","35661","US",16861,55.916,301.5,13570,2666,110,64,0,30,179,242,2099,1862,2003,2036,2198,2609,1802,2252,51865,1604,1660,1415,882,848,299,90,0.093,0.323,0.317,0.175,0.092,6798,4796,0.089,0.059,0.805,0.158,0.007,0.004,0,0.002,0.011,0.014,0.124,0.11,0.119,0.121,0.13,0.155,0.107,0.134,0.095,0.098,0.084,0.052,0.05,0.018,0.005,0.706,1
4,34.28857,-85.96986,"Crossville","AL","DeKalb County","35962","US",9691,78.702,123.1,6789,4,52,22,0,0,72,2752,1463,1647,1331,1296,1349,1007,526,1072,34051,1057,832,540,217,165,15,18,0.288,0.402,0.182,0.084,0.042,2844,2099,0.22,0.033,0.701,0,0.005,0.002,0,0,0.007,0.284,0.151,0.17,0.137,0.134,0.139,0.104,0.054,0.111,0.109,0.086,0.056,0.022,0.017,0.002,0.002,0.738,1
5,33.99149,-85.99265,"Gadsden","AL","Etowah County","35903","US",17106,67.416,253.7,10507,5395,9,16,0,15,214,950,1825,1923,2673,2055,1996,2604,2288,1742,33231,2629,1951,1175,445,416,125,136,0.195,0.337,0.327,0.088,0.053,6877,4177,0.159,0.077,0.614,0.315,0.001,0.001,0,0.001,0.013,0.056,0.107,0.112,0.156,0.12,0.117,0.152,0.134,0.102,0.154,0.114,0.069,0.026,0.024,0.007,0.008,0.607,1
6,31.22478,-85.39079,"Dothan","AL","Houston County","36303","US",31422,62.811,500.3,16669,12808,174,212,0,23,564,972,3932,4205,4305,3840,4155,4177,3458,3350,39983,3982,3183,1824,1016,1090,382,445,0.154,0.29,0.319,0.154,0.084,11922,7654,0.176,0.111,0.53,0.408,0.006,0.007,0,0.001,0.018,0.031,0.125,0.134,0.137,0.122,0.132,0.133,0.11,0.107,0.127,0.101,0.058,0.032,0.035,0.012,0.014,0.642,1
7,33.55306,-86.815,"Birmingham","AL","Jefferson County","35207","US",9506,10.398,914.2,528,8731,30,0,0,0,34,183,1837,1106,1302,1116,868,1252,1169,856,22169,1929,838,313,202,147,14,5,0.229,0.343,0.321,0.075,0.033,3448,2144,0.405,0.181,0.056,0.918,0.003,0,0,0,0.004,0.019,0.193,0.116,0.137,0.117,0.091,0.132,0.123,0.09,0.203,0.088,0.033,0.021,0.015,0.001,0.001,0.622,1
8,33.33111,-87.00361,"Mccalla","AL","Jefferson County","35111","US",16781,64.189,261.4,13900,2416,36,53,0,12,262,102,1801,2048,2733,2413,1979,2435,2278,1094,75771,854,1080,1097,1299,1262,272,227,0.099,0.32,0.325,0.174,0.083,6091,4820,0.055,0.059,0.828,0.144,0.002,0.003,0,0.001,0.016,0.006,0.107,0.122,0.163,0.144,0.118,0.145,0.136,0.065,0.051,0.064,0.065,0.077,0.075,0.016,0.014,0.791,1
9,33.54528,-86.54917,"Leeds","AL","Jefferson County","35094","US",14281,57.653,247.7,10691,2158,85,9,2,0,189,1147,2165,1778,1643,1739,2208,1563,1613,1572,55403,1123,1289,1073,738,716,283,111,0.144,0.301,0.301,0.17,0.083,5333,3896,0.088,0.047,0.749,0.151,0.006,0.001,0,0,0.013,0.08,0.152,0.125,0.115,0.122,0.155,0.109,0.113,0.11,0.079,0.09,0.075,0.052,0.05,0.02,0.008,0.731,1
10,33.49972,-86.92417,"Birmingham","AL","Jefferson County","35224","US",5416,15.756,343.7,2071,3298,0,17,0,0,27,3,829,628,748,708,680,782,545,496,31250,952,608,446,115,57,36,7,0.137,0.373,0.379,0.085,0.026,2221,1349,0.219,0.175,0.382,0.609,0,0.003,0,0,0.005,0.001,0.153,0.116,0.138,0.131,0.126,0.144,0.101,0.092,0.176,0.112,0.082,0.021,0.011,0.007,0.001,0.607,1
